	iata	icao	latitude	longitude	pm10
0	SHJ	OMSJ	25.3286	55.5172	77.33
1	AZI	OMAD	24.4283	54.4581	35.64
2	FJR	OMFJ	25.1122	56.324	37.02
3	XSB	OMBY	24.2836	52.5803	55.11
4	RKT	OMRK	25.6135	55.9388	47.04
5	DWC	OMDW	24.8964	55.1614	59.58
6	DHF	OMAM	24.2482	54.5477	46.32
7	ZDY	OMDL	24.51	52.3352	69.63
8	DCG		25.2422	55.3314	75.46
9	AYM		24.467	54.6103	42.89
10	DJH		24.989	55.0238	59.58
11	RHR		25.691	55.778	59.66
12	DXB	OMDB	25.2528	55.3644	75.46
13	AAN	OMAL	24.2617	55.6092	107.13
14	NHD	OMDM	25.0268	55.3662	73.0
15	AUH	OMAA	24.433	54.6511	42.89
16	FAH	OAFR	32.367	62.183	47.1
17	MMZ	OAMN	35.9308	64.7609	55.63
18	OLR	OASL	33.3638	69.9561	7.18
19	KWH	OAHN	37.883	70.217	8.12
20	SBF	OADS	33.3207	68.6365	26.27
21	LQN	OAQN	34.985	63.1178	34.92
22	FBD	OAFZ	37.1211	70.5181	15.88
23	KHT	OAKS	33.3334	69.952	7.18
24	SGA	OASN	37.567	71.5	2.66
25	HEA	OAHR	34.21	62.2283	37.86
26	GZI	OAGN	33.5312	68.4129	60.16
27	BIN	OABN	34.817	67.817	9.98
28	KDH	OAKN	31.5058	65.8478	52.18
29	DWR	OADY	31	64	214.85
30	GRG	OAGZ	33.6315	69.2394	24.76
31	UND	OAUZ	36.6651	68.9108	110.7
32	BST	OABT	31.5597	64.365	134.73
33	URZ	OARG	32.903	66.6309	2.48
34	TII	OATN	32.6042	65.8658	4.56
35	URN	OAOG	32.9318	69.1563	17.95
36	ZAJ	OAZJ	30.9722	61.8658	72.7
37	OAZ	OAZI	31.8638	64.2246	28.43
38	MZR	OAMS	36.7069	67.2097	96.97
39	KUR	OARZ	37.752	-89.0154	4.11
40	TQN	OATQ	36.7707	69.532	89.97
41	CCN	OACC	34.5265	65.271	6.58
42	DAZ	OADZ	38.4611	70.8825	2.21
43	JAA	OAJL	34.3998	70.4986	61.73
44	OAA	OASH	33.9225	69.0772	35.61
45	OAH	OASD	33.3913	62.261	27.18
46	OAI	OAIX	34.9461	69.265	57.22
47	OAS	OASA	33.1258	68.8385	24.24
48	KBL	OAKB	34.5658	69.2131	119.8
49	BBQ	TAPH	17.6358	-61.8286	1.95
50	ANU	TAPA	17.1367	-61.7927	1.91
51	AXA	TQPF	18.2048	-63.0551	2.45
52	LWN	UDSG	40.7504	43.8593	5.52
53	EVN	UDYZ	40.1473	44.3959	7.18
54	LUO	FNUE	-11.7681	19.8977	0.52
55	VPE	FNGI	-17.0435	15.6838	5.97
56	UGO	FNUG	-7.60307	15.0278	1.74
57	KNP	FNCP	-9.76937	15.4553	0.81
58	SVP	FNKU	-12.4046	16.9474	1.08
59	ARZ	FNZE	-7.25944	12.8631	1.92
60	CTI	FNCV	-15.1603	19.1561	0.52
61	MSZ	FNMO	-15.2612	12.1468	31.82
62	SZA	FNSO	-6.14109	12.3718	3.55
63	SDD	FNUB	-14.9247	13.575	8.34
64	PBN	FNPA	-10.722	13.7655	3.63
65	CAV	FNCZ	-11.8931	22.9164	0.51
66	MEG	FNMA	-9.52509	16.3124	0.72
67	GGC		-14.105	21.45	0.52
68	AZZ	FNAM	-7.86222	13.1161	1.94
69	LZM	FNLZ	-9.11596	18.0493	0.53
70	VHC	FNSA	-9.68907	20.4319	1.07
71	PGI	FNCH	-7.35889	20.8047	0.55
72	DRC		-17.9819	20.7681	0.51
73	ANL		-11.4723	16.7109	0.64
74	DUE	FNDU	-7.40089	20.8185	0.57
75	LLT	FNLB	-12.3757	13.561	17.12
76	CBT	FNCT	-12.4792	13.4869	20.81
77	NDD	FNSU	-11.1679	13.8475	4.61
78	CEO	FNWK	-11.4264	15.1014	0.64
79	NDF		-9.27519	14.9772	1.49
80	JMB		-14.6982	16.0701	0.56
81	NOV	FNHU	-12.8089	15.7605	4.33
82	BUG	FNBG	-12.609	13.4037	16.71
83	LBZ	FNLK	-8.44573	20.7321	0.53
84	LAD	FNLU	-8.85837	13.2312	107.78
85	NZA	FNZG	-7.71694	21.3582	0.55
86	XGN	FNXA	-16.7554	14.9653	2.26
87	CFF	FNCF	-8.78361	17.9897	0.54
88	CAB	FNCA	-5.59699	12.1884	4.26
89	UAL	FNUA	-10.7158	22.2311	0.54
90	SPP	FNME	-14.6576	17.7198	0.51
91	GXG	FNNG	-7.75451	15.2877	1.96
92	SSY	FNBC	-6.2699	14.247	0.63
93	CNZ		-13.7106	19.8611	0.51
94	TNM	SCRM	-62.1908	-58.9867	2.61
95	EPA	SADP	-34.6099	-58.6126	5.83
96	RLO	SAOS	-32.3847	-65.1865	1.27
97	COC	SAAC	-31.2969	-57.9966	8.65
98	ROS	SAAR	-32.9036	-60.785	4.34
99	ROY	SAWM	-45.7039	-70.2456	2.32
100	RSA	SAZR	-36.5883	-64.2757	0.82
101	RYO	SAWT	-51.605	-72.2203	0.64
102	RZA	SAWU	-50.0165	-68.5792	4.43
103	GPO	SAZG	-35.6962	-63.7583	1.41
104	CNQ	SARC	-27.4455	-58.7619	1.26
105	ELO	SATD	-26.3975	-54.5747	2.88
106	SDE	SANE	-27.7656	-64.31	2.69
107	AFA	SAMR	-34.5883	-68.4039	5.48
108	HOS	SAHC	-37.4447	-70.2225	2.63
109	APZ	SAHZ	-38.9755	-70.1136	2.65
110	SFN	SAAV	-31.7117	-60.8117	4.58
111	COR	SACO	-31.3236	-64.208	5.27
112	SGV	SAVS	-41.5917	-65.3394	2.13
113	UZU	SATU	-29.7706	-57.9789	3.94
114	SLA	SASA	-24.856	-65.4862	1.56
115	MQD	SAVQ	-41.2431	-68.7078	0.82
116	OES	SAVN	-40.7512	-65.0343	2.37
117	CPC	SAZY	-40.0754	-71.1373	0.61
118	TTG	SAST	-22.6196	-63.7937	0.51
119	CSZ	SAZC	-37.4461	-61.8893	0.76
120	CTC	SANC	-28.5956	-65.7517	1.1
121	OLN	SAVM	-45.5824	-68.9998	4.58
122	CPG		-40.7781	-62.9803	1.22
123	SST	SAZL	-36.5423	-56.7218	9.83
124	BRC	SAZS	-41.1512	-71.1575	0.65
125	ORA	SASO	-23.1528	-64.3292	0.53
126	UAQ	SANU	-31.5715	-68.4182	3.27
127	ARR	SAVR	-45.0136	-70.8122	1.15
128	OVR	SAZF	-36.89	-60.2166	3.8
129	OYA	SATG	-29.1058	-59.2189	1.84
130	OYO	SAZH	-38.3869	-60.3297	1.89
131	LUQ	SAOU	-33.2732	-66.3564	0.71
132	TUC	SANT	-26.8409	-65.1049	4.79
133	CLX	SATC	-25.3036	-57.7344	15.23
134	EMX	SAVD	-42.0292	-71.1725	1.14
135	PEH	SAZP	-35.8446	-61.8576	1.25
136	PMQ	SAWP	-46.5379	-70.9787	0.78
137	PMY	SAVY	-42.7592	-65.1027	1.72
138	ULA	SAWJ	-49.3068	-67.8026	7.9
139	JUJ	SASJ	-24.3928	-65.0978	2.32
140	GNR	SAHR	-39.0007	-67.6205	3.28
141	VLG	SAZV	-37.2354	-57.0292	10.0
142	JSM	SAWS	-44.0486	-70.4589	1.83
143	PRA	SAAP	-31.7948	-60.4804	4.39
144	JNI	SAAJ	-34.5459	-60.9306	4.85
145	GHU	SAAG	-33.0103	-58.6131	5.89
146	USH	SAWH	-54.8433	-68.2958	0.58
147	PRQ	SARS	-26.7536	-60.4922	1.11
148	GGS	SAWR	-48.7831	-70.15	1.89
149	CRD	SAVC	-45.7853	-67.4655	5.23
150	EHL	SAVB	-41.9432	-71.5323	1.25
151	PSS	SARP	-27.3858	-55.9707	2.91
152	TDL	SAZT	-37.2374	-59.2279	2.97
153	PUD	SAWD	-47.7353	-65.9041	3.83
154	RAF	SAFR	-31.2825	-61.5017	3.98
155	FTE	SAWA	-50.2803	-72.0531	0.9
156	FMA	SARF	-26.2127	-58.2281	1.16
157	VME	SAOR	-33.7299	-65.3874	1.33
158	IRJ	SANL	-29.3816	-66.7958	1.32
159	VGS		-35	-63	1.39
160	LPG	SADL	-34.9722	-57.8947	3.57
161	CUT	SAZW	-38.9397	-69.2646	3.53
162	CRR	SANW	-29.8723	-61.9279	4.79
163	LMD		-40.8177	-68.0747	0.97
