	icao	latitude	longitude	pm10
0	AYGA	-6.081666666666666	145.39166666666665	2.84
1	AYMD	-5.206944444444445	145.78861111111112	5.62
2	AYMH	-5.826111111111111	144.29611111111112	4.79
3	AYNZ	-6.569722222222222	146.72611111111112	1.65
4	AYPY	-9.443333333333333	147.22	32.97
5	AYWK	-3.5836111111111113	143.66916666666665	0.56
6	BGBW	61.16111111111111	-45.427499999999995	0.62
7	BGGH	64.19083333333333	-51.67805555555555	0.66
8	BGJN	69.23333333333333	-51.06666666666667	0.51
9	BGKK	65.58333333333333	-37.15	0.72
10	BGSF	67.01694444444445	-50.689166666666665	0.5
11	BGTL	76.53111111111112	-68.70305555555557	0.5
12	BIAR	65.65972222222223	-18.072499999999998	0.66
13	BIEG	65.28333333333333	-14.401388888888889	0.63
14	BIHN	64.29555555555555	-15.227222222222222	0.55
15	BIHU	65.95222222222222	-17.425833333333333	1.02
16	BIIS	66.05805555555555	-23.135277777777777	0.54
17	BIKF	63.985	-22.605555555555558	5.53
18	BIKP	66.31361111111111	-16.461111111111112	0.62
19	BIPA	65.55583333333333	-23.965	0.51
20	BIRK	64.13	-21.940555555555555	2.79
21	BISI	66.13333333333334	-18.916666666666668	0.59
22	BIVM	63.424166666666665	-20.27861111111111	4.64
23	CYAM	46.485	-84.50944444444444	4.61
24	CYAV	50.05638888888888	-97.0325	0.61
25	CYAW	44.63972222222222	-63.49944444444444	1.39
26	CYAY	51.391666666666666	-56.08444444444444	0.91
27	CYAZ	49.08222222222223	-125.7725	1.17
28	CYBB	68.53444444444445	-89.80805555555555	0.5
29	CYBC	49.132222222222225	-68.20722222222223	0.61
30	CYBG	48.330555555555556	-70.99638888888889	1.43
31	CYBK	64.29888888888888	-96.07777777777777	0.81
32	CYBL	49.950833333333335	-125.27083333333333	4.49
33	CYBR	49.91	-99.95194444444445	0.56
34	CYCB	69.10805555555555	-105.13833333333334	0.67
35	CYCD	49.05222222222222	-123.86999999999999	4.85
36	CYCG	49.296388888888885	-117.6325	4.58
37	CYCH	47.007777777777775	-65.44916666666667	0.56
38	CYCL	47.99055555555556	-66.33138888888888	0.54
39	CYCO	67.81666666666666	-115.1438888888889	0.5
40	CYCT	52.075	-111.44527777777778	2.84
41	CYCW	49.15277777777778	-121.9388888888889	3.66
42	CYCY	70.48611111111111	-68.51666666666667	0.5
43	CYCZ	50.331944444444446	-115.8736111111111	0.54
44	CYDA	64.04305555555555	-139.1277777777778	0.51
45	CYDB	61.37111111111111	-139.04055555555556	0.5
46	CYDC	49.4675	-120.51194444444444	0.51
47	CYDF	49.21083333333333	-57.39138888888889	1.37
48	CYDL	58.42222222222222	-130.03222222222223	0.5
49	CYDN	51.100833333333334	-100.0525	0.52
50	CYDQ	55.74166666666667	-120.18194444444445	0.58
51	CYED	53.666666666666664	-113.46666666666667	4.47
52	CYEG	53.30972222222222	-113.57972222222222	3.36
53	CYEK	61.094166666666666	-94.07083333333333	0.51
54	CYEN	49.21027777777778	-102.96583333333334	2.05
55	CYET	53.57888888888889	-116.465	1.29
56	CYEU	79.99472222222222	-85.81333333333333	0.51
57	CYEV	68.30416666666666	-133.48277777777778	0.52
58	CYFB	63.756388888888885	-68.55583333333333	0.55
59	CYFC	45.86944444444445	-66.53166666666667	0.6
60	CYFO	54.67805555555555	-101.68166666666667	0.51
61	CYFR	61.18083333333333	-113.68972222222223	0.5
62	CYFS	61.76027777777778	-121.23666666666666	0.5
63	CYGK	44.22527777777778	-76.59694444444445	11.92
64	CYGL	53.625277777777775	-77.70416666666667	0.54
65	CYGP	48.775277777777774	-64.4786111111111	0.53
66	CYGQ	49.77833333333333	-86.93944444444445	0.5
67	CYGR	47.42472222222222	-61.778055555555554	0.83
68	CYGW	55.28333333333333	-77.76666666666667	0.51
69	CYGX	56.35	-94.7	0.5
70	CYHB	52.81666666666667	-102.31138888888889	0.5
71	CYHD	49.83166666666667	-92.74416666666667	0.52
72	CYHI	70.76305555555555	-117.80583333333333	0.51
73	CYHK	68.63555555555556	-95.84972222222221	0.72
74	CYHM	43.17305555555555	-79.935	7.44
75	CYHU	45.5175	-73.41694444444445	13.75
76	CYHY	60.83972222222222	-115.78277777777778	0.51
77	CYHZ	44.880833333333335	-63.50861111111111	1.38
78	CYIB	48.77388888888889	-91.63861111111112	0.51
79	CYIO	72.68333333333334	-77.96666666666667	0.51
80	CYJN	45.294444444444444	-73.28111111111112	6.5
81	CYJT	48.54416666666666	-58.55	2.48
82	CYKA	50.702222222222225	-120.44194444444445	2.33
83	CYKF	43.45888888888889	-80.38444444444445	9.27
84	CYKL	54.805	-66.80527777777777	0.5
85	CYKY	51.5175	-109.18083333333334	9.89
86	CYKZ	43.86222222222222	-79.36999999999999	12.89
87	CYLD	47.82	-83.34638888888888	0.51
88	CYLJ	54.125277777777775	-108.52277777777778	0.53
89	CYLL	53.30916666666666	-110.07249999999999	0.92
90	CYLT	82.51777777777778	-62.28055555555555	2.37
91	CYLW	49.95611111111111	-119.37777777777777	1.72
92	CYMA	63.61666666666667	-135.86666666666667	0.5
93	CYMJ	50.33027777777778	-105.55916666666667	7.87
94	CYMM	56.65333333333333	-111.22194444444445	0.51
95	CYMO	51.29111111111111	-80.60777777777777	0.56
96	CYMW	46.27444444444444	-75.99	1.54
97	CYMX	45.67972222222222	-74.03861111111111	2.13
98	CYNA	50.189722222222215	-61.78916666666667	0.5
99	CYND	45.521388888888886	-75.56416666666667	5.99
100	CYNM	49.76166666666666	-77.80277777777778	0.5
101	CYOC	67.57055555555556	-139.83916666666667	0.5
102	CYOD	54.405	-110.27944444444444	0.53
103	CYOJ	58.62138888888889	-117.16472222222222	0.5
104	CYOW	45.322500000000005	-75.66916666666667	8.6
105	CYPA	53.21416666666667	-105.67277777777778	0.54
106	CYPE	56.22694444444445	-117.44722222222222	2.13
107	CYPG	49.90277777777778	-98.27472222222222	0.58
108	CYPL	51.44638888888888	-90.21416666666667	0.51
109	CYPN	49.83638888888889	-64.28861111111111	0.51
110	CYPQ	44.230000000000004	-78.36333333333333	9.89
111	CYPR	54.28611111111111	-130.44472222222223	0.53
112	CYPY	58.76722222222222	-111.11722222222221	0.5
113	CYQA	44.974722222222226	-79.30333333333333	6.73
114	CYQB	46.788333333333334	-71.39750000000001	4.76
115	CYQF	52.17861111111111	-113.89305555555556	5.64
116	CYQG	42.275555555555556	-82.95555555555556	13.96
117	CYQH	60.117777777777775	-128.82194444444445	0.5
118	CYQK	49.788333333333334	-94.36305555555555	0.54
119	CYQL	49.63027777777778	-112.79972222222221	0.63
120	CYQM	46.11222222222222	-64.67861111111111	0.75
121	CYQQ	49.71083333333333	-124.88666666666667	6.45
122	CYQR	50.43194444444444	-104.66583333333334	3.16
123	CYQT	48.371944444444445	-89.32388888888889	0.6
124	CYQU	55.17972222222222	-118.885	1.57
125	CYQV	51.264722222222225	-102.46166666666667	0.51
126	CYQW	52.76916666666666	-108.24361111111111	1.31
127	CYQX	48.93694444444444	-54.56805555555556	4.28
128	CYQY	46.16138888888889	-60.047777777777775	5.02
129	CYQZ	53.02611111111111	-122.51	0.53
130	CYRB	74.71694444444445	-94.96944444444445	1.89
131	CYRI	47.76444444444444	-69.58472222222221	0.63
132	CYRJ	48.519999999999996	-72.26555555555555	0.54
133	CYRM	52.42972222222222	-114.90416666666667	0.52
134	CYRT	62.811388888888885	-92.11583333333333	0.52
135	CYSB	46.625	-80.79888888888888	3.34
136	CYSC	45.43805555555555	-71.69055555555556	3.06
137	CYSJ	45.316111111111105	-65.89027777777778	0.6
138	CYSM	60.02222222222222	-111.96027777777778	0.5
139	CYSR	72.98222222222222	-84.61361111111111	1.89
140	CYSU	46.44277777777778	-63.83111111111111	0.67
141	CYSY	71.99388888888889	-125.2425	0.54
142	CYTE	64.23	-76.52666666666667	0.51
143	CYTH	55.801111111111105	-97.86416666666666	0.51
144	CYTR	44.11888888888889	-77.52805555555555	11.5
145	CYTS	48.569722222222225	-81.37666666666667	0.53
146	CYTZ	43.6275	-79.39611111111111	16.22
147	CYUB	69.43333333333334	-133.0263888888889	0.5
148	CYUL	45.46805555555556	-73.74138888888889	10.01
149	CYUT	66.5213888888889	-86.22472222222223	0.51
150	CYUX	68.7761111111111	-81.24361111111111	0.51
151	CYUY	48.20611111111111	-78.83555555555554	0.54
152	CYVC	55.15138888888889	-105.26194444444444	0.52
153	CYVG	53.35583333333334	-110.82388888888889	1.12
154	CYVM	67.54583333333333	-64.03138888888888	0.52
155	CYVO	48.05333333333333	-77.78277777777778	0.74
156	CYVP	58.096111111111114	-68.42694444444444	0.52
157	CYVQ	65.2825	-126.80027777777778	0.51
158	CYVR	49.19499999999999	-123.18194444444445	12.74
159	CYVT	55.841944444444444	-108.4175	0.5
160	CYVV	44.74583333333334	-81.10722222222222	6.24
161	CYWA	45.952222222222225	-77.31916666666666	2.87
162	CYWG	49.91	-97.23444444444445	1.34
163	CYWK	52.92194444444444	-66.86444444444444	0.51
164	CYWL	52.183055555555555	-122.05416666666666	0.53
165	CYWY	63.20944444444445	-123.43666666666667	0.5
166	CYXC	49.61027777777778	-115.7825	0.76
167	CYXD	53.572500000000005	-113.52055555555556	4.77
168	CYXE	52.170833333333334	-106.69972222222222	4.7
169	CYXH	50.01888888888889	-110.72083333333333	0.61
170	CYXJ	56.238055555555555	-120.74027777777778	0.81
171	CYXL	50.114444444444445	-91.90416666666667	0.51
172	CYXP	66.14500000000001	-65.71361111111112	0.53
173	CYXR	47.69499999999999	-79.84888888888888	1.08
174	CYXS	53.88944444444444	-122.67888888888889	0.79
175	CYXT	54.46638888888889	-128.5775	0.96
176	CYXU	43.035555555555554	-81.1538888888889	8.23
177	CYXX	49.025277777777774	-122.36333333333333	2.03
178	CYXY	60.70944444444445	-135.06833333333333	0.57
179	CYYB	46.36361111111111	-79.42277777777778	3.58
180	CYYC	51.11388888888889	-114.02027777777778	0.98
181	CYYD	54.82472222222223	-127.18277777777779	0.52
182	CYYE	58.83638888888889	-122.59694444444445	0.51
183	CYYF	49.46277777777778	-119.60222222222221	1.86
184	CYYG	46.29	-63.12111111111111	0.99
185	CYYH	69.54666666666667	-93.57666666666667	0.51
186	CYYJ	48.64694444444444	-123.42583333333334	3.08
187	CYYL	56.86388888888889	-101.0761111111111	0.5
188	CYYN	50.29194444444444	-107.69055555555556	11.72
189	CYYQ	58.73916666666667	-94.065	0.5
190	CYYR	53.31916666666667	-60.42583333333333	0.5
191	CYYT	47.618611111111115	-52.75194444444445	13.53
192	CYYU	49.413888888888884	-82.4675	0.5
193	CYYW	50.290277777777774	-88.90972222222223	0.5
194	CYYY	48.60861111111111	-68.20805555555556	0.53
195	CYYZ	43.67722222222222	-79.63055555555555	10.42
196	CYZD	43.7425	-79.46555555555555	12.75
197	CYZE	45.88527777777778	-82.56777777777778	4.26
198	CYZF	62.46277777777778	-114.44027777777778	0.51
199	CYZH	55.29333333333333	-114.77833333333334	3.31
200	CYZP	53.25416666666667	-131.8138888888889	0.57
201	CYZR	42.99944444444444	-82.30888888888889	10.91
202	CYZT	50.68055555555555	-127.36666666666666	2.01
203	CYZU	54.14388888888889	-115.78666666666666	3.99
204	CYZV	50.223333333333336	-66.26555555555555	0.6
205	CYZW	60.172777777777775	-132.74277777777777	0.5
206	CYZX	44.98444444444444	-64.91694444444445	0.76
207	CZFA	62.2075	-133.37583333333333	0.51
208	CZFM	67.40777777777778	-134.86027777777778	0.5
209	DAAE	36.71194444444445	5.069722222222222	3.71
210	DAAG	36.69083333333333	3.215277777777778	5.63
211	DAAJ	24.2925	9.452222222222222	16.34
212	DAAP	26.573333333333334	8.48361111111111	48.88
213	DAAS	36.17805555555555	5.3244444444444445	2.43
214	DAAT	22.810833333333335	5.450833333333334	5.84
215	DAAV	36.794999999999995	5.873333333333334	4.44
216	DABB	36.82222222222222	7.809166666666666	8.15
217	DABC	36.276666666666664	6.62388888888889	3.49
218	DABS	35.43138888888889	8.120555555555557	1.86
219	DAFH	32.92972222222222	3.312222222222222	19.38
